<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI380634	38.33	47.87	3.22	13.52	-7.13	410.00	76.00	17.00	55.55	190.00	56.00	76.00	68.00	10.87	31.23	857.57	22.00	-12.80	34.80	1.10	13.42
PI380636	34.18	48.18	12.90	23.82	2.28	377.00	70.00	0.00	80.50	178.00	1.00	6.00	163.00	15.36	39.18	871.02	34.90	-4.30	39.20	3.13	23.38
PI380637	33.54	48.88	11.51	22.85	0.45	330.00	62.00	0.00	81.06	161.00	2.00	8.00	145.00	14.43	36.63	907.42	33.00	-6.40	39.40	1.30	22.37
PI380638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI380639	34.33	49.33	11.65	23.25	0.02	274.00	49.00	0.00	76.82	126.00	2.00	9.00	114.00	14.29	35.73	932.98	33.40	-6.60	40.00	1.20	22.63
PI380640	38.67	45.18	12.61	24.45	-0.08	246.00	43.00	4.00	55.23	110.00	19.00	32.00	52.00	12.19	31.10	992.88	33.20	-6.00	39.20	12.02	24.07
PI380641	38.00	46.59	9.35	21.27	-3.12	275.00	49.00	4.00	60.10	129.00	17.00	30.00	61.00	11.14	29.01	991.66	29.60	-8.80	38.40	8.10	21.05
PI380642	35.73	53.57	12.97	24.98	0.40	178.00	32.00	3.00	61.87	79.00	10.00	13.00	61.00	11.37	29.83	993.40	32.60	-5.50	38.10	6.75	24.12
PI380654	35.31	59.15	13.91	24.93	2.32	267.00	57.00	1.00	91.08	154.00	3.00	7.00	133.00	12.92	34.91	913.56	32.60	-4.40	37.00	3.73	23.87
PI383546	38.03	35.40	7.59	17.10	-2.47	466.00	60.00	7.00	49.54	177.00	30.00	49.00	149.00	12.49	36.21	800.01	26.60	-7.90	34.50	6.58	17.02
