<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI401129	35.87	47.61	10.38	22.42	-1.8	381.0	67.0	1.0	74.57	178.0	5.0	9.0	137.0	13.88	33.7	985.77	32.9	-8.3	41.2	3.37	22.02
PI401130	36.09	52.15	11.8	23.0	0.18	255.0	43.0	5.0	54.07	103.0	18.0	21.0	85.0	10.74	29.92	928.0	30.3	-5.6	35.9	5.72	22.47
PI401131	36.09	52.15	11.8	23.0	0.18	255.0	43.0	5.0	54.07	103.0	18.0	21.0	85.0	10.74	29.92	928.0	30.3	-5.6	35.9	5.72	22.47
PI401132	35.84	51.05	14.29	26.13	1.97	253.0	47.0	2.0	68.96	114.0	7.0	10.0	101.0	11.5	30.1	976.02	34.4	-3.8	38.2	3.47	25.42
PI401133	35.84	51.05	14.29	26.13	1.97	253.0	47.0	2.0	68.96	114.0	7.0	10.0	101.0	11.5	30.1	976.02	34.4	-3.8	38.2	3.47	25.42
PI401134	35.7	51.43	16.65	28.3	4.77	252.0	43.0	2.0	69.88	117.0	7.0	10.0	110.0	9.78	27.38	951.75	35.4	-0.3	35.7	6.25	27.4
PI401135	35.7	51.43	16.65	28.3	4.77	252.0	43.0	2.0	69.88	117.0	7.0	10.0	110.0	9.78	27.38	951.75	35.4	-0.3	35.7	6.25	27.4
PI401136	35.7	51.43	16.65	28.3	4.77	252.0	43.0	2.0	69.88	117.0	7.0	10.0	110.0	9.78	27.38	951.75	35.4	-0.3	35.7	6.25	27.4
PI401137	34.08	49.7	13.73	25.85	1.08	293.0	52.0	0.0	76.72	135.0	3.0	6.0	128.0	12.97	31.88	991.86	35.3	-5.4	40.7	2.85	25.08
PI401138	34.08	49.7	13.73	25.85	1.08	293.0	52.0	0.0	76.72	135.0	3.0	6.0	128.0	12.97	31.88	991.86	35.3	-5.4	40.7	2.85	25.08
PI401139	34.08	49.7	13.73	25.85	1.08	293.0	52.0	0.0	76.72	135.0	3.0	6.0	128.0	12.97	31.88	991.86	35.3	-5.4	40.7	2.85	25.08
PI401140	34.08	49.7	13.73	25.85	1.08	293.0	52.0	0.0	76.72	135.0	3.0	6.0	128.0	12.97	31.88	991.86	35.3	-5.4	40.7	2.85	25.08
PI401141	33.49	48.36	19.06	30.05	8.23	471.0	86.0	0.0	86.97	233.0	0.0	2.0	229.0	15.73	39.93	886.52	40.9	1.5	39.4	9.4	29.45
PI401142	33.49	48.36	19.06	30.05	8.23	471.0	86.0	0.0	86.97	233.0	0.0	2.0	229.0	15.73	39.93	886.52	40.9	1.5	39.4	9.4	29.45
